,Author Link,Author Name,Comment Text,Rating
0,/Profile/A9973AEcarlosg,Carlos G,"Todo excelente, habitaciones muy comodas  y limpias, el restaurante exquisito la atención de Mario fue muy buena y a mi salida Brandon muy amable y al pendiente de mi un transporte que solicite, sin duda de mis mejores estancias en la ciudad.",50
1,/Profile/IMVM,IMVM,"Hotel muy limpio, personal súper amable, estacionamiento semi techado gratis hasta por seis días, room service y servicio de alimentos dentro del hotel de excelente calidad. Segunda ocasión que nos hospedamos aquí en familia para viajar temprano desde una de las terminales y superan expectativas. De vdd gracias! Además muy cerca de una tienda de conveniencia 7/11.",50
2,/Profile/633mariluf,marilu f,"Muy buena atención desde su recepción hasta las habitaciones, el personal atento a lo que necesitaba y en verdad la limpieza sobre sale y se agradece por que así se inicia un muy buen día una buena experiencia en atención calidad y calidez, las instalaciones muy lindas y agradables a la vista",50
3,/Profile/U3629SZsylviab,Sylvia B,"Excelente servicio y amabilidad de todo su personal, asi sus espacios y tranquilidad para reunirse. Me gusto mucho sus platillos de excelente sabor y presentación, lo recomiendo.  El personal nos atendió con rapidez y atentos en todo momento.",50
4,/Profile/gilbertojoaquina,gilbertojoaquina,"Estuve hospedada en este hotel y lo que más me sorprendió ,fue la amabilidad de todo el personal...y dedicar especial mencion a Mirna García por ser MARAVILLOSA!!! Su atención y dedicación en hacerme sentir lo más cómoda posible ,logro que mi estancia allí ,fuese única ",50
5,/Profile/fabiolat819,Fabiola T,"Todo fue prefecto, mi estancia ideal sobre todo porque está a unos pasos del aeropuerto, la mejor, más cómoda y segura opción para estar a tiempo en mi vuelo.   Todo el staff del hotel muy amable y el servicio en el restaurante excelente siempre !  Las habitaciones perfectas para descansar :)",50
6,/Profile/mayramK6494YZ,MAYRA M,"La atencion excelente y el desayuno estuvo muy bueno. Muy recomendable, me gustaron las instalaciones y el trato de las personas. todos muy amables. Volvere pronto por motivos de trabajo y obviamente me hospedaria con uds. Saludos",50
7,/Profile/FabyJL,FabyJL,"No tienes que salir del aeropuerto a la calle para ingresar al hotel, desde adentro de la terminal hay un puente para acercarte al lobby. Hotel muy cómodo, comida agradable, sólo me tocó un caldo de pollo múuuuy salado pero lo demás muy bien. ",50
8,/Profile/larrydE6899IM,Larry D,"Una excelente opción para hospedarse, el personal es muy agradable, el hotel muy limpio y accesible pues está  a un lado del aeropuerto, las habitaciones son muy cómodas y acogedoras. Recomendable totalmente.",50
9,/Profile/M4989GNjorgeg,Jorge G,"Es un hotel muy acogedor, super accesible y la atención del personal muy eficiente.  agradezco la atención, apesar de los problemas que tuve en el vuelo, mi llegada con ustedes hizo el viaje muy ameno Altamente recomendado ",50
